,DATE,SUBSCRIBERS_GAINED,SUBSCRIBERS_LOST,VIEWS,WATCH_HOURS,LIKES,SHARES,COMMENTS,TOTAL_SUBSCRIBERS,weekday,type
403,2020-09-25,44,8,1479,225,111,22,9,6999,Friday,organic
404,2020-09-26,42,11,3054,307,178,21,11,7030,Saturday,organic
405,2020-09-27,47,11,2533,360,181,20,12,7066,Sunday,paid
406,2020-09-28,39,11,1715,219,108,18,12,7094,Monday,organic
407,2020-09-29,44,12,1428,235,107,24,11,7126,Tuesday,paid
408,2020-09-30,45,9,8432,173,560,100,55,7162,Wednesday,organic
409,2020-10-01,47,11,1586,231,97,20,12,7198,Thursday,paid
410,2020-10-02,48,12,1667,207,108,24,10,7234,Friday,paid
411,2020-10-03,40,9,2633,388,178,17,12,7265,Saturday,paid
412,2020-10-04,38,11,2932,354,177,18,11,7292,Sunday,paid
413,2020-10-05,51,10,1826,228,108,22,12,7333,Monday,organic
414,2020-10-06,46,11,1849,234,114,22,11,7368,Tuesday,organic
415,2020-10-07,42,11,1602,202,102,23,12,7399,Wednesday,paid
416,2020-10-08,52,10,1645,261,120,21,11,7441,Thursday,organic
417,2020-10-09,46,10,2134,270,111,28,9,7477,Friday,organic
418,2020-10-10,51,11,2523,352,163,22,12,7517,Saturday,paid
419,2020-10-11,46,10,3183,393,162,22,10,7553,Sunday,organic
420,2020-10-12,55,10,1781,214,112,20,12,7598,Monday,paid
421,2020-10-13,54,12,1833,209,108,22,11,7640,Tuesday,paid
422,2020-10-14,45,10,2035,229,121,24,12,7675,Wednesday,paid
423,2020-10-15,50,12,2079,238,109,25,12,7713,Thursday,organic
424,2020-10-16,49,11,1830,220,132,19,11,7751,Friday,organic
425,2020-10-17,52,9,2677,363,196,22,12,7794,Saturday,organic
426,2020-10-18,42,10,2780,355,156,24,11,7826,Sunday,paid
427,2020-10-19,50,12,1933,208,115,24,9,7864,Monday,organic
428,2020-10-20,51,10,2045,243,107,23,11,7905,Tuesday,paid
429,2020-10-21,38,11,1885,252,111,24,10,7932,Wednesday,paid
430,2020-10-22,41,12,2009,236,139,21,11,7961,Thursday,paid
431,2020-10-23,37,12,2210,260,112,26,10,7986,Friday,paid
432,2020-10-24,46,11,2968,307,180,25,10,8021,Saturday,paid
433,2020-10-25,50,10,2961,367,184,20,13,8061,Sunday,organic
434,2020-10-26,54,13,1629,207,105,20,12,8102,Monday,organic
435,2020-10-27,48,13,1422,209,107,21,11,8137,Tuesday,paid
436,2020-10-28,55,12,2012,221,103,25,11,8180,Wednesday,paid
437,2020-10-29,41,11,1927,214,107,20,11,8210,Thursday,organic
438,2020-10-30,39,10,1854,224,84,22,12,8239,Friday,paid
439,2020-10-31,47,10,3016,348,186,24,11,8276,Saturday,paid
440,2020-11-01,50,12,2939,387,214,23,13,8314,Sunday,organic
441,2020-11-02,48,12,2203,230,120,24,11,8350,Monday,paid
442,2020-11-03,38,13,2006,201,102,21,11,8375,Tuesday,organic
443,2020-11-04,48,12,1848,267,111,25,11,8411,Wednesday,paid
444,2020-11-05,42,10,2206,220,114,22,11,8443,Thursday,paid
445,2020-11-06,52,13,1972,239,107,23,12,8482,Friday,organic
446,2020-11-07,50,10,3199,378,195,24,11,8522,Saturday,paid
447,2020-11-08,44,11,2908,369,195,24,12,8555,Sunday,paid
448,2020-11-09,46,12,1912,268,106,24,13,8589,Monday,paid
449,2020-11-10,43,14,2072,254,129,22,11,8618,Tuesday,organic
450,2020-11-11,48,15,2067,222,139,23,11,8651,Wednesday,paid
451,2020-11-12,54,12,2174,297,144,24,12,8693,Thursday,organic
452,2020-11-13,44,11,2029,249,156,21,11,8726,Friday,organic
453,2020-11-14,52,12,2565,361,166,23,12,8766,Saturday,paid
454,2020-11-15,47,13,3023,403,235,25,12,8800,Sunday,organic
455,2020-11-16,45,11,2285,252,118,21,13,8834,Monday,paid
456,2020-11-17,49,14,2064,256,115,27,11,8869,Tuesday,paid
457,2020-11-18,44,12,2085,308,127,27,11,8901,Wednesday,organic
458,2020-11-19,47,12,2361,240,116,21,11,8936,Thursday,paid
459,2020-11-20,44,13,2006,240,128,28,11,8967,Friday,organic
460,2020-11-21,60,12,2754,376,160,24,13,9015,Saturday,paid
461,2020-11-22,50,13,3221,414,181,25,10,9052,Sunday,paid
462,2020-11-23,47,11,2088,212,140,23,15,9088,Monday,paid
463,2020-11-24,51,11,1992,201,124,27,14,9128,Tuesday,organic
464,2020-11-25,50,11,2179,236,126,26,12,9167,Wednesday,paid
465,2020-11-26,49,13,2339,210,131,23,13,9203,Thursday,paid
466,2020-11-27,54,13,2239,241,140,22,10,9244,Friday,paid
467,2020-11-28,54,13,3484,397,157,21,15,9285,Saturday,paid
468,2020-11-29,48,14,4015,345,199,25,11,9319,Sunday,paid
469,2020-11-30,48,12,2200,217,123,26,12,9355,Monday,paid
470,2020-12-01,50,13,2354,256,128,27,10,9392,Tuesday,organic
471,2020-12-02,39,11,2186,276,140,25,13,9420,Wednesday,paid
472,2020-12-03,43,12,2120,212,112,22,11,9451,Thursday,organic
473,2020-12-04,58,13,2193,276,114,23,12,9496,Friday,paid
474,2020-12-05,60,13,3344,415,154,28,12,9543,Saturday,organic
475,2020-12-06,50,12,3658,421,181,24,11,9581,Sunday,paid
476,2020-12-07,55,12,2923,288,145,26,11,9624,Monday,paid
477,2020-12-08,53,10,2210,314,127,22,13,9667,Tuesday,organic
478,2020-12-09,68,12,2293,249,111,26,11,9723,Wednesday,paid
479,2020-12-10,58,14,2391,261,122,24,11,9767,Thursday,organic
480,2020-12-11,51,13,2516,248,110,28,13,9805,Friday,organic
481,2020-12-12,47,13,3747,390,172,27,16,9839,Saturday,organic
482,2020-12-13,44,13,4142,450,202,24,13,9870,Sunday,organic
483,2020-12-14,53,13,1863,226,114,25,11,9910,Monday,paid
484,2020-12-15,48,12,1884,239,145,24,12,9946,Tuesday,paid
485,2020-12-16,45,13,2365,298,129,22,13,9978,Wednesday,organic
486,2020-12-17,49,13,2777,289,132,23,12,10014,Thursday,paid
487,2020-12-18,47,13,2122,253,127,26,14,10048,Friday,organic
488,2020-12-19,62,12,2653,429,211,27,13,10098,Saturday,paid
489,2020-12-20,58,10,4034,409,213,26,14,10146,Sunday,paid
490,2020-12-21,53,14,2621,304,136,25,12,10185,Monday,paid
491,2020-12-22,61,12,2292,267,139,28,14,10234,Tuesday,organic
492,2020-12-23,54,12,2332,293,129,26,13,10276,Wednesday,paid
493,2020-12-24,49,14,2349,337,140,28,12,10311,Thursday,paid
494,2020-12-25,62,12,2645,283,128,21,16,10361,Friday,organic
495,2020-12-26,57,14,3698,403,199,16,10,10404,Saturday,organic
496,2020-12-27,48,14,4164,430,195,27,12,10438,Sunday,organic
497,2020-12-28,53,14,1900,258,127,22,12,10477,Monday,organic
498,2020-12-29,49,11,2445,333,125,26,16,10515,Tuesday,organic
499,2020-12-30,47,15,2385,274,140,26,15,10547,Wednesday,organic
500,2020-12-31,59,13,2634,263,152,31,15,10593,Thursday,paid
501,2021-01-01,65,13,2563,248,150,28,13,10645,Friday,organic
502,2021-01-02,47,13,4411,451,177,27,16,10679,Saturday,organic
503,2021-01-03,58,11,3343,442,229,29,14,10726,Sunday,organic
504,2021-01-04,51,14,2766,259,131,28,14,10763,Monday,organic
505,2021-01-05,52,12,2922,288,144,25,13,10803,Tuesday,organic
506,2021-01-06,52,11,3299,232,124,30,13,10844,Wednesday,paid
507,2021-01-07,50,11,2662,279,138,24,13,10883,Thursday,paid
508,2021-01-08,55,15,2904,287,141,28,13,10923,Friday,organic
509,2021-01-09,51,12,3476,483,174,23,14,10962,Saturday,organic
510,2021-01-10,57,15,3244,381,217,28,14,11004,Sunday,paid
511,2021-01-11,55,13,3098,241,156,28,13,11046,Monday,paid
512,2021-01-12,54,11,2871,252,135,32,15,11089,Tuesday,organic
513,2021-01-13,50,12,3228,240,157,23,9,11127,Wednesday,paid
514,2021-01-14,52,15,2503,315,135,26,14,11164,Thursday,paid
515,2021-01-15,60,13,3068,321,150,30,14,11211,Friday,paid
516,2021-01-16,59,13,5220,430,162,28,15,11257,Saturday,paid
517,2021-01-17,50,14,4607,469,259,28,13,11293,Sunday,organic
518,2021-01-18,57,14,3044,283,160,25,14,11336,Monday,paid
519,2021-01-19,60,15,2979,277,135,26,15,11381,Tuesday,paid
520,2021-01-20,47,16,2522,271,112,31,16,11412,Wednesday,organic
521,2021-01-21,60,13,3414,272,144,27,13,11459,Thursday,organic
522,2021-01-22,53,12,2837,238,120,29,14,11500,Friday,paid
523,2021-01-23,60,13,4784,435,220,27,16,11547,Saturday,organic
524,2021-01-24,52,14,3861,423,220,24,11,11585,Sunday,organic
525,2021-01-25,46,12,2705,305,128,30,13,11619,Monday,paid
526,2021-01-26,48,12,3523,287,157,29,16,11655,Tuesday,paid
527,2021-01-27,57,14,2988,280,153,34,15,11698,Wednesday,organic
528,2021-01-28,59,14,3562,260,156,25,14,11743,Thursday,organic
529,2021-01-29,52,14,3101,288,142,30,13,11781,Friday,paid
530,2021-01-30,61,13,3841,460,183,24,13,11829,Saturday,organic
531,2021-01-31,48,13,5153,381,235,29,13,11864,Sunday,paid
532,2021-02-01,57,13,2981,290,139,31,16,11908,Monday,organic
533,2021-02-02,51,15,3405,294,123,22,13,11944,Tuesday,organic
534,2021-02-03,54,15,3205,268,163,28,14,11983,Wednesday,paid
535,2021-02-04,58,11,2716,272,174,27,13,12030,Thursday,organic
536,2021-02-05,53,13,3278,296,143,26,15,12070,Friday,paid
537,2021-02-06,56,12,5928,385,264,30,13,12114,Saturday,organic
538,2021-02-07,64,13,5122,451,219,32,14,12165,Sunday,paid
539,2021-02-08,55,14,3249,265,139,28,12,12206,Monday,paid
540,2021-02-09,63,12,3635,323,136,29,12,12257,Tuesday,organic
541,2021-02-10,52,13,3365,360,169,29,14,12296,Wednesday,organic
542,2021-02-11,62,13,3379,267,134,29,12,12345,Thursday,organic
543,2021-02-12,67,14,2961,309,157,26,17,12398,Friday,organic
544,2021-02-13,44,14,5124,408,207,32,11,12428,Saturday,paid
545,2021-02-14,54,13,5546,487,210,30,13,12469,Sunday,paid
546,2021-02-15,63,14,3083,257,162,30,14,12518,Monday,paid
547,2021-02-16,58,13,19293,309,705,135,70,12563,Tuesday,paid
548,2021-02-17,62,14,3359,270,141,28,13,12611,Wednesday,organic
549,2021-02-18,56,17,3101,290,164,29,13,12650,Thursday,organic
550,2021-02-19,60,16,3758,266,172,25,13,12694,Friday,paid
551,2021-02-20,59,12,4997,483,237,24,14,12741,Saturday,organic
552,2021-02-21,67,16,5557,409,208,27,17,12792,Sunday,organic
553,2021-02-22,61,16,3354,315,141,31,15,12837,Monday,organic
554,2021-02-23,62,13,3447,289,150,27,16,12886,Tuesday,organic
555,2021-02-24,58,16,3652,296,154,26,15,12928,Wednesday,organic
556,2021-02-25,57,17,3595,305,135,27,16,12968,Thursday,paid
557,2021-02-26,58,13,2805,278,161,28,10,13013,Friday,organic
558,2021-02-27,63,13,4684,462,226,29,14,13063,Saturday,organic
559,2021-02-28,58,16,5785,522,186,36,17,13105,Sunday,organic
560,2021-03-01,62,15,3494,279,136,33,14,13152,Monday,paid
561,2021-03-02,73,15,3367,338,143,33,17,13210,Tuesday,paid
562,2021-03-03,66,15,3080,349,150,33,17,13261,Wednesday,paid
563,2021-03-04,59,15,3190,279,180,27,14,13305,Thursday,organic
564,2021-03-05,68,13,2862,260,155,26,14,13360,Friday,paid
565,2021-03-06,59,16,5343,471,208,27,13,13403,Saturday,paid
566,2021-03-07,49,17,5090,433,234,34,14,13435,Sunday,organic
567,2021-03-08,55,14,3270,363,147,28,13,13476,Monday,organic
568,2021-03-09,50,15,3606,308,158,26,15,13511,Tuesday,organic
569,2021-03-10,59,12,3774,282,162,29,13,13558,Wednesday,paid
570,2021-03-11,62,16,4417,272,172,30,16,13604,Thursday,organic
571,2021-03-12,72,16,3109,342,153,31,16,13660,Friday,organic
572,2021-03-13,64,15,6147,436,268,31,12,13709,Saturday,organic
573,2021-03-14,61,17,6060,466,252,28,17,13753,Sunday,organic
574,2021-03-15,67,14,3405,339,143,33,16,13806,Monday,paid
575,2021-03-16,48,16,3777,295,189,29,16,13838,Tuesday,paid
576,2021-03-17,64,13,3542,309,160,30,14,13889,Wednesday,paid
577,2021-03-18,67,15,3789,311,142,33,16,13941,Thursday,organic
578,2021-03-19,53,15,4292,333,181,29,17,13979,Friday,organic
579,2021-03-20,70,15,5948,496,282,29,15,14034,Saturday,organic
580,2021-03-21,65,15,5907,459,232,33,18,14084,Sunday,organic
581,2021-03-22,60,15,3594,316,148,28,15,14129,Monday,paid
582,2021-03-23,67,16,3206,302,154,30,17,14180,Tuesday,organic
583,2021-03-24,78,15,3694,268,168,33,16,14243,Wednesday,organic
584,2021-03-25,64,13,4237,323,177,37,16,14294,Thursday,paid
585,2021-03-26,65,18,3210,376,166,33,13,14341,Friday,paid
586,2021-03-27,60,17,5094,432,238,33,16,14384,Saturday,paid
587,2021-03-28,58,13,5779,438,273,33,14,14429,Sunday,paid
588,2021-03-29,69,16,3436,290,153,28,14,14482,Monday,organic
589,2021-03-30,58,15,3516,341,175,32,18,14525,Tuesday,organic
590,2021-03-31,64,16,3664,333,154,31,15,14573,Wednesday,organic
591,2021-04-01,61,16,3309,314,166,32,14,14618,Thursday,paid
592,2021-04-02,67,15,3465,290,157,32,15,14670,Friday,organic
593,2021-04-03,66,14,6173,484,238,33,13,14722,Saturday,paid
594,2021-04-04,71,14,5021,405,231,31,18,14779,Sunday,organic
595,2021-04-05,61,14,3241,326,182,32,14,14826,Monday,organic
596,2021-04-06,63,14,3620,350,148,28,16,14875,Tuesday,organic
597,2021-04-07,58,15,4153,282,149,31,18,14918,Wednesday,paid
598,2021-04-08,62,14,3798,273,195,36,15,14966,Thursday,paid
599,2021-04-09,67,17,3700,374,177,33,17,15016,Friday,paid
600,2021-04-10,70,18,5853,456,184,32,14,15068,Saturday,organic
601,2021-04-11,59,15,4816,541,228,38,20,15112,Sunday,organic
602,2021-04-12,71,16,4087,320,132,28,17,15167,Monday,organic
603,2021-04-13,74,17,4049,320,147,28,15,15224,Tuesday,organic
604,2021-04-14,68,17,3743,340,111,38,15,15275,Wednesday,paid
605,2021-04-15,78,16,4300,298,160,32,16,15337,Thursday,paid
606,2021-04-16,60,17,3470,331,144,31,15,15380,Friday,paid
607,2021-04-17,57,17,6534,472,246,28,19,15420,Saturday,paid
608,2021-04-18,54,14,5968,427,205,34,14,15460,Sunday,paid
609,2021-04-19,76,17,3789,340,165,34,16,15519,Monday,organic
610,2021-04-20,70,17,3917,321,157,29,16,15572,Tuesday,paid
611,2021-04-21,66,15,3885,325,189,32,16,15623,Wednesday,paid
612,2021-04-22,68,16,4410,290,188,31,16,15675,Thursday,organic
613,2021-04-23,59,17,3509,384,178,33,16,15717,Friday,paid
614,2021-04-24,83,16,5453,540,240,29,18,15784,Saturday,organic
615,2021-04-25,67,18,6519,546,297,37,17,15833,Sunday,paid
616,2021-04-26,67,20,3704,322,140,36,17,15880,Monday,paid
617,2021-04-27,72,15,4295,275,143,32,11,15937,Tuesday,organic
618,2021-04-28,70,14,4612,399,165,32,17,15993,Wednesday,organic
619,2021-04-29,68,17,3785,332,204,32,13,16044,Thursday,organic
620,2021-04-30,62,17,4214,309,163,30,17,16089,Friday,paid
621,2021-05-01,70,16,5235,523,246,32,19,16143,Saturday,organic
622,2021-05-02,80,19,6367,562,214,32,15,16204,Sunday,paid
623,2021-05-03,77,14,4026,335,183,39,16,16267,Monday,organic
624,2021-05-04,78,17,4134,380,184,36,15,16328,Tuesday,paid
625,2021-05-05,64,15,3693,374,181,36,18,16377,Wednesday,organic
626,2021-05-06,61,19,3292,301,158,35,17,16419,Thursday,paid
627,2021-05-07,67,20,4147,316,157,30,19,16466,Friday,paid
628,2021-05-08,68,15,4699,556,220,33,17,16519,Saturday,organic
629,2021-05-09,76,16,5732,370,256,37,17,16579,Sunday,organic
630,2021-05-10,57,18,4318,335,151,29,17,16618,Monday,organic
631,2021-05-11,79,16,4021,292,150,36,18,16681,Tuesday,paid
632,2021-05-12,67,16,4712,325,163,42,14,16732,Wednesday,organic
633,2021-05-13,66,17,4347,331,162,37,17,16781,Thursday,organic
634,2021-05-14,62,13,3684,330,161,39,16,16830,Friday,organic
635,2021-05-15,57,17,5924,486,268,34,18,16870,Saturday,organic
636,2021-05-16,74,15,5878,457,258,37,16,16929,Sunday,organic
637,2021-05-17,69,16,3312,423,166,31,15,16982,Monday,organic
638,2021-05-18,60,19,3563,409,175,37,17,17023,Tuesday,organic
639,2021-05-19,60,15,3710,305,155,36,15,17068,Wednesday,organic
640,2021-05-20,67,18,3128,400,174,35,13,17117,Thursday,organic
641,2021-05-21,81,16,3944,332,175,39,18,17182,Friday,paid
642,2021-05-22,68,16,5737,526,220,32,18,17234,Saturday,organic
643,2021-05-23,59,18,4896,517,285,34,18,17275,Sunday,organic
644,2021-05-24,68,17,4075,325,158,35,19,17326,Monday,paid
645,2021-05-25,68,18,4194,382,175,31,16,17376,Tuesday,organic
646,2021-05-26,51,19,3999,353,194,35,14,17408,Wednesday,organic
647,2021-05-27,70,16,3779,332,190,28,17,17462,Thursday,organic
648,2021-05-28,68,16,4133,304,175,38,16,17514,Friday,paid
649,2021-05-29,75,15,6246,478,252,35,16,17574,Saturday,organic
650,2021-05-30,83,16,6022,439,286,33,17,17641,Sunday,paid
651,2021-05-31,78,22,3569,352,187,32,16,17697,Monday,paid
652,2021-06-01,69,19,3993,310,164,34,14,17747,Tuesday,organic
653,2021-06-02,63,15,4345,343,162,37,16,17795,Wednesday,organic
654,2021-06-03,89,15,3646,401,139,37,15,17869,Thursday,organic
655,2021-06-04,71,18,4684,396,179,32,18,17922,Friday,paid
656,2021-06-05,71,18,5496,529,262,32,16,17975,Saturday,paid
657,2021-06-06,71,18,5812,526,295,37,19,18028,Sunday,paid
658,2021-06-07,73,17,3597,422,183,32,20,18084,Monday,organic
659,2021-06-08,70,17,3938,374,201,35,18,18137,Tuesday,paid
660,2021-06-09,67,18,3175,344,165,36,15,18186,Wednesday,organic
661,2021-06-10,68,17,3631,306,198,36,20,18237,Thursday,paid
662,2021-06-11,71,13,3416,371,169,38,20,18295,Friday,organic
663,2021-06-12,68,17,5821,580,288,31,17,18346,Saturday,organic
664,2021-06-13,67,16,6305,504,228,28,20,18397,Sunday,paid
665,2021-06-14,73,18,4064,369,183,33,16,18452,Monday,paid
666,2021-06-15,70,23,2907,346,143,42,14,18499,Tuesday,organic
667,2021-06-16,83,18,4582,353,175,43,16,18564,Wednesday,organic
668,2021-06-17,53,17,19554,271,940,210,105,18600,Thursday,organic
669,2021-06-18,80,19,3498,353,171,35,15,18661,Friday,paid
670,2021-06-19,82,18,5769,595,241,29,18,18725,Saturday,organic
671,2021-06-20,57,18,5769,508,294,27,18,18764,Sunday,organic
672,2021-06-21,70,19,3521,365,179,34,17,18815,Monday,organic
673,2021-06-22,70,21,3841,336,172,35,17,18864,Tuesday,paid
674,2021-06-23,63,16,3531,377,182,41,18,18911,Wednesday,paid
675,2021-06-24,67,19,3601,356,230,39,17,18959,Thursday,paid
676,2021-06-25,65,16,3488,330,203,37,15,19008,Friday,paid
677,2021-06-26,86,19,4804,621,304,33,18,19075,Saturday,organic
678,2021-06-27,80,16,5679,600,285,33,20,19139,Sunday,paid
679,2021-06-28,83,17,3943,344,186,37,19,19205,Monday,paid
680,2021-06-29,79,17,3909,385,139,39,16,19267,Tuesday,organic
681,2021-06-30,65,20,4015,387,171,38,16,19312,Wednesday,organic
682,2021-07-01,70,20,3823,392,175,32,17,19362,Thursday,paid
683,2021-07-02,77,16,3499,306,149,39,21,19423,Friday,paid
684,2021-07-03,65,18,5997,609,244,38,19,19470,Saturday,paid
685,2021-07-04,79,17,4772,523,222,32,19,19532,Sunday,paid
686,2021-07-05,72,16,3342,357,184,34,20,19588,Monday,organic
687,2021-07-06,71,18,3312,469,200,39,19,19641,Tuesday,organic
688,2021-07-07,80,17,4054,382,206,36,18,19704,Wednesday,organic
689,2021-07-08,78,23,3995,357,193,43,19,19759,Thursday,paid
690,2021-07-09,72,19,3821,290,168,39,17,19812,Friday,paid
691,2021-07-10,83,16,6039,637,225,35,15,19879,Saturday,paid
692,2021-07-11,67,17,4964,484,229,37,20,19929,Sunday,paid
693,2021-07-12,80,20,3747,336,163,37,21,19989,Monday,organic
694,2021-07-13,79,22,3568,362,170,34,16,20046,Tuesday,organic
695,2021-07-14,73,15,3911,428,184,34,20,20104,Wednesday,paid
696,2021-07-15,78,15,3557,405,168,40,21,20167,Thursday,paid
697,2021-07-16,66,22,3453,370,194,40,18,20211,Friday,organic
698,2021-07-17,82,19,5667,582,274,39,17,20274,Saturday,organic
699,2021-07-18,74,17,5835,531,282,43,19,20331,Sunday,organic
700,2021-07-19,72,19,3331,383,210,35,17,20384,Monday,organic
701,2021-07-20,84,13,3540,381,166,44,17,20455,Tuesday,paid
702,2021-07-21,70,18,3178,416,197,34,19,20507,Wednesday,organic
703,2021-07-22,65,19,2661,416,189,34,15,20553,Thursday,paid
704,2021-07-23,64,20,3610,399,183,31,16,20597,Friday,organic
705,2021-07-24,81,17,5621,550,309,36,19,20661,Saturday,organic
706,2021-07-25,66,19,5427,613,310,36,18,20708,Sunday,organic
707,2021-07-26,90,17,2832,378,172,40,19,20781,Monday,organic
708,2021-07-27,60,19,3387,341,187,39,22,20822,Tuesday,paid
709,2021-07-28,90,17,2726,367,196,33,19,20895,Wednesday,organic
710,2021-07-29,78,18,3976,386,186,36,20,20955,Thursday,organic
711,2021-07-30,76,17,3110,419,202,36,17,21014,Friday,paid
712,2021-07-31,73,20,5881,565,295,31,20,21067,Saturday,paid
713,2021-08-01,80,20,5708,507,340,34,18,21127,Sunday,organic
714,2021-08-02,77,18,3157,387,163,35,19,21186,Monday,paid
715,2021-08-03,86,19,3071,390,190,44,19,21253,Tuesday,paid
716,2021-08-04,78,16,3578,393,175,39,21,21315,Wednesday,paid
717,2021-08-05,79,18,3159,422,205,41,16,21376,Thursday,paid
718,2021-08-06,75,19,3479,427,162,32,14,21432,Friday,paid
719,2021-08-07,77,24,4907,547,300,43,18,21485,Saturday,paid
720,2021-08-08,80,17,4230,546,271,43,20,21548,Sunday,paid
721,2021-08-09,64,22,2661,348,180,31,19,21590,Monday,organic
722,2021-08-10,67,21,3497,417,166,36,21,21636,Tuesday,organic
723,2021-08-11,84,20,3222,447,185,40,20,21700,Wednesday,organic
724,2021-08-12,80,22,3219,378,216,41,18,21758,Thursday,paid
725,2021-08-13,77,20,3640,382,195,36,15,21815,Friday,paid
726,2021-08-14,79,20,5694,673,312,37,19,21874,Saturday,paid
727,2021-08-15,81,19,4949,618,342,36,21,21936,Sunday,paid
728,2021-08-16,74,22,3271,410,201,39,18,21988,Monday,organic
729,2021-08-17,73,21,3551,346,185,44,19,22040,Tuesday,organic
730,2021-08-18,80,18,2918,421,206,36,20,22102,Wednesday,organic
731,2021-08-19,71,17,3447,358,186,43,17,22156,Thursday,organic
732,2021-08-20,82,19,3553,350,187,36,20,22219,Friday,organic
733,2021-08-21,66,18,5388,573,250,36,23,22267,Saturday,paid
734,2021-08-22,87,19,4062,559,324,42,19,22335,Sunday,organic
735,2021-08-23,83,22,3099,388,190,43,17,22396,Monday,paid
736,2021-08-24,82,18,3056,340,202,43,19,22460,Tuesday,paid
737,2021-08-25,87,19,3379,436,178,34,15,22528,Wednesday,paid
738,2021-08-26,93,20,3504,443,207,37,20,22601,Thursday,organic
739,2021-08-27,88,21,3839,321,184,43,20,22668,Friday,paid
740,2021-08-28,65,15,4756,657,294,40,23,22718,Saturday,paid
741,2021-08-29,70,18,4750,550,325,35,19,22770,Sunday,organic
742,2021-08-30,75,20,3712,435,215,41,20,22825,Monday,paid
743,2021-08-31,80,22,3425,398,199,37,18,22883,Tuesday,organic
744,2021-09-01,85,19,3746,403,165,47,19,22949,Wednesday,organic
745,2021-09-02,75,16,3418,394,261,46,17,23008,Thursday,organic
746,2021-09-03,82,21,2935,451,236,42,19,23069,Friday,paid
747,2021-09-04,75,18,4313,529,324,45,19,23126,Saturday,paid
748,2021-09-05,76,17,4202,642,279,40,20,23185,Sunday,paid
749,2021-09-06,69,18,3533,449,199,43,18,23236,Monday,organic
750,2021-09-07,73,19,3706,434,191,46,20,23290,Tuesday,paid
751,2021-09-08,70,19,3924,499,228,41,19,23341,Wednesday,organic
752,2021-09-09,73,15,3589,384,208,39,19,23399,Thursday,paid
753,2021-09-10,90,22,3694,445,187,33,20,23467,Friday,paid
754,2021-09-11,74,22,4675,603,289,40,20,23519,Saturday,organic
755,2021-09-12,103,21,4389,687,339,44,21,23601,Sunday,organic
756,2021-09-13,86,18,3589,408,236,44,20,23669,Monday,paid
757,2021-09-14,83,20,3446,393,235,42,19,23732,Tuesday,paid
758,2021-09-15,75,20,3344,462,219,38,20,23787,Wednesday,organic
759,2021-09-16,88,21,3437,389,199,32,19,23854,Thursday,paid
760,2021-09-17,77,21,3416,352,138,38,19,23910,Friday,organic
761,2021-09-18,83,19,5604,583,316,39,24,23974,Saturday,organic
762,2021-09-19,103,20,5611,655,307,39,18,24057,Sunday,organic
763,2021-09-20,82,21,3493,469,208,43,20,24118,Monday,paid
764,2021-09-21,92,23,3595,417,207,49,19,24187,Tuesday,organic
765,2021-09-22,77,22,3487,467,178,41,20,24242,Wednesday,paid
766,2021-09-23,82,22,3165,357,218,40,19,24302,Thursday,organic
767,2021-09-24,98,20,3572,395,219,40,21,24380,Friday,paid
768,2021-09-25,78,23,4290,603,331,41,17,24435,Saturday,paid
769,2021-09-26,98,21,5515,615,340,38,22,24512,Sunday,organic
770,2021-09-27,89,18,2932,419,220,42,22,24583,Monday,organic
771,2021-09-28,79,23,3428,445,199,43,18,24639,Tuesday,paid
772,2021-09-29,89,22,3054,398,206,42,16,24706,Wednesday,paid
773,2021-09-30,92,19,3525,423,210,43,18,24779,Thursday,organic
774,2021-10-01,89,19,3332,416,210,43,20,24849,Friday,paid
775,2021-10-02,70,21,4221,568,343,34,26,24898,Saturday,organic
776,2021-10-03,78,21,5240,621,333,44,22,24955,Sunday,organic
777,2021-10-04,82,21,3163,413,253,39,17,25016,Monday,paid
778,2021-10-05,83,21,3659,413,256,37,19,25078,Tuesday,organic
779,2021-10-06,89,24,3368,422,211,37,20,25143,Wednesday,paid
780,2021-10-07,86,23,3506,424,129,43,21,25206,Thursday,paid
781,2021-10-08,73,21,3055,403,236,41,18,25258,Friday,organic
782,2021-10-09,88,23,4778,714,298,35,20,25323,Saturday,paid
783,2021-10-10,90,18,4854,559,291,44,19,25395,Sunday,paid
784,2021-10-11,89,21,3689,392,203,36,18,25463,Monday,organic
785,2021-10-12,94,25,3976,541,202,42,21,25532,Tuesday,organic
786,2021-10-13,92,20,3136,380,224,43,22,25604,Wednesday,paid
787,2021-10-14,89,19,3787,367,179,46,23,25674,Thursday,organic
788,2021-10-15,84,19,2682,456,189,50,22,25739,Friday,organic
789,2021-10-16,71,18,4536,505,330,36,20,25792,Saturday,paid
790,2021-10-17,89,19,4668,624,339,42,22,25862,Sunday,paid
791,2021-10-18,87,20,2983,518,227,41,21,25929,Monday,paid
792,2021-10-19,88,18,2911,361,196,44,21,25999,Tuesday,paid
793,2021-10-20,75,21,3610,343,192,43,20,26053,Wednesday,organic
794,2021-10-21,76,23,3402,364,203,41,20,26106,Thursday,organic
795,2021-10-22,95,19,3618,467,219,40,21,26182,Friday,organic
796,2021-10-23,86,24,5605,717,369,38,26,26244,Saturday,organic
797,2021-10-24,92,22,5397,612,255,47,22,26314,Sunday,paid
798,2021-10-25,86,23,3746,460,210,45,20,26377,Monday,paid
799,2021-10-26,87,20,3501,491,186,47,19,26444,Tuesday,paid
